1,ANdaman,f,314084,170319,143765,30.14,197886,116198,844,2904,82.49,87.36,76.62,116631,100683,15948,197453,1.Hindus,235862,2.Christians,49033,3.Muslims,27134,331,331,233,185,102
2,ANdaman,"District Nicobars (02), Andaman & Nicobar Islands (35)",42068,22653,19415,7.19,42068,-,857,26565,72.35,78.55,65.01,19623,12924,6699,22445,1.Christians,28145,2.Hindus,10727,3.Muslims,2131,170,169,96,53,38
3,Andhra,"District Adilabad (01), Andhra Pradesh (28)",2488003,1250958,1237045,19.06,1827986,NA,989,416511,52.68,64.98,40.3,1123248,912287,210961,1364755,NA,2207843,NA,236844,NA,24392,1586,1585,1585,1521,976
4,Andhra,"District Nizamabad (02), Andhra Pradesh (28)",2345685,1162905,1182780,14.98,1920947,NA,1017,165735,52.02,64.91,39.48,1159606,971911,187695,1186079,1.Hindus,1983275,2.Muslims,338824,3.Christians,16204,854,854,854,839,614
5,Andhra,"District Karimnagar (03), Andhra Pradesh (28)",3491822,1747968,1743854,14.47,2813010,NA,998,90636,54.9,67.09,42.75,1711559,1458954,252605,1780263,1.Hindus,3251834,2.Muslims,213811,3.Christians,20576,1047,1047,1047,1039,863
6,Andhra,"District Medak (04), Andhra Pradesh (28)",2670097,1352446,1317651,17.29,2286573,NA,974,134533,51.65,64.33,38.66,1293657,1060051,233606,1376440,1.Hindus,2334169,2.Muslims,296486,3.Christians,34651,1225,1225,1225,1215,659
7,Andhra,"District Hyderabad (05), Andhra Pradesh (28)",3829753,1981173,1848580,17.18,-,NA,933,34560,78.8,83.74,73.5,1119842,1032298,87544,2709911,1.Hindus,2121963,2.Muslims,1576583,3.Christians,92915,NA,NA,NA,NA,NA
8,Andhra,,3575064,1839227,1735837,37.41,1637227,NA,944,146057,66.16,75.26,56.49,1437606,1264403,173203,2137458,1.Hindus,3063118,2.Muslims,408281,3.Christians,89893,860,860,858,839,422
9,Andhra,"District Mahbubnagar (07), Andhra Pradesh (28)",3513934,1782340,1731594,13.97,3142579,NA,972,278702,44.41,56.63,31.89,1823329,1482426,340903,1690605,1.Hindus,3193932,2.Muslims,296975,3.Christians,18800,1477,1475,1477,1456,881
10,Andhra,"District Nalgonda (08), Andhra Pradesh (28)",3247982,1651990,1595992,13.55,2815304,NA,966,342676,57.15,69.23,44.68,1594666,1308907,285759,1653316,1.Hindus,3040212,2.Muslims,170553,3.Christians,32452,1124,1124,1124,1098,872
11,Andhra,"District Warangal (09), Andhra Pradesh (28)",3246004,1644895,1601109,14.63,2622792,NA,973,457679,57.13,68.88,45.09,1566237,1277468,288769,1679767,1.Hindus,3028537,2.Muslims,177217,3.Christians,33354,984,984,984,971,826
12,Andhra,"District Khammam (10), Andhra Pradesh (28)",2578927,1305543,1273384,15.78,2068066,NA,975,682617,56.89,66.11,47.44,1244376,1039322,205054,1334551,1.Hindus,2406066,2.Muslims,137639,3.Christians,30777,1101,1100,1100,1000,921
13,Andhra,"District Srikakulam (11), Andhra Pradesh (28)",2537593,1260020,1277573,8.93,2258934,NA,1014,151249,55.31,67.19,43.68,1201816,870624,331192,1335777,1.Hindus,2513087,2.Christians,14199,3.Muslims,7759,1715,1715,1715,1645,652
14,Andhra,"District Vizianagaram (12), Andhra Pradesh (28)",2249254,1119541,1129713,6.36,1836859,NA,1009,214839,51.07,62.37,39.91,1174164,912375,261789,1075090,1.Hindus,2214541,2.Christians,15495,3.Muslims,15472,1455,1453,1455,1371,649
